[2020-12-13 13:48:15,428][MainThread:4527095232][task_id:django.utils.autoreload][autoreload.py:584][INFO][Watching for file changes with StatReloader]
[2020-12-13 13:48:39,575][Thread-1:123145494396928][task_id:django.request][log.py:228][WARNING][Not Found: /]
[2020-12-13 13:48:39,575][Thread-1:123145494396928][task_id:django.server][basehttp.py:154][WARNING]["GET / HTTP/1.1" 404 77]
[2020-12-13 13:48:52,657][Thread-1:123145494396928][task_id:django.request][log.py:228][WARNING][Not Found: /]
[2020-12-13 13:48:52,657][Thread-1:123145494396928][task_id:django.server][basehttp.py:154][WARNING]["GET / HTTP/1.1" 404 77]
[2020-12-13 14:17:09,190][Thread-3:123145494396928][task_id:django.request][log.py:228][WARNING][Not Found: /]
[2020-12-13 14:17:09,191][Thread-3:123145494396928][task_id:django.server][basehttp.py:154][WARNING]["GET / HTTP/1.1" 404 77]
[2020-12-13 14:24:04,341][Thread-5:123145494396928][task_id:django.request][log.py:228][WARNING][Not Found: /static]
[2020-12-13 14:24:04,343][Thread-5:123145494396928][task_id:django.server][basehttp.py:154][WARNING]["GET /static HTTP/1.1" 404 77]
[2020-12-13 14:24:06,235][Thread-5:123145494396928][task_id:django.request][log.py:228][WARNING][Not Found: /static]
[2020-12-13 14:24:06,235][Thread-5:123145494396928][task_id:django.server][basehttp.py:154][WARNING]["GET /static HTTP/1.1" 404 77]
[2020-12-13 14:24:29,540][Thread-5:123145494396928][task_id:django.request][log.py:228][WARNING][Not Found: /static/]
[2020-12-13 14:24:29,542][Thread-5:123145494396928][task_id:django.server][basehttp.py:154][WARNING]["GET /static/ HTTP/1.1" 404 77]
[2020-12-13 14:25:23,266][Thread-5:123145494396928][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:25:23,266][Thread-5:123145494396928][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:25:36,779][MainThread:4659215808][task_id:django.utils.autoreload][autoreload.py:584][INFO][Watching for file changes with StatReloader]
[2020-12-13 14:25:39,154][Thread-1:123145412599808][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:25:39,155][Thread-1:123145412599808][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:25:39,726][Thread-1:123145412599808][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:25:39,727][Thread-1:123145412599808][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:25:40,301][Thread-1:123145412599808][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:25:40,302][Thread-1:123145412599808][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:25:40,790][Thread-1:123145412599808][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:25:40,790][Thread-1:123145412599808][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:25:41,227][Thread-1:123145412599808][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:25:41,227][Thread-1:123145412599808][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:25:41,721][Thread-1:123145412599808][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:25:41,722][Thread-1:123145412599808][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:25:42,046][Thread-1:123145412599808][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:25:42,047][Thread-1:123145412599808][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:25:42,338][Thread-1:123145412599808][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:25:42,338][Thread-1:123145412599808][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:25:42,573][Thread-1:123145412599808][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:25:42,573][Thread-1:123145412599808][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:25:42,834][Thread-1:123145412599808][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:25:42,834][Thread-1:123145412599808][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:26:26,757][MainThread:4659215808][task_id:django.utils.autoreload][autoreload.py:211][INFO][/Users/caimengxuan/Desktop/meit/meiduo_mall/meiduo/meiduo/settings/dev.py changed, reloading.]
[2020-12-13 14:26:27,139][MainThread:4756516288][task_id:django.utils.autoreload][autoreload.py:584][INFO][Watching for file changes with StatReloader]
[2020-12-13 14:27:08,012][MainThread:4756516288][task_id:django.utils.autoreload][autoreload.py:211][INFO][/Users/caimengxuan/Desktop/meit/meiduo_mall/meiduo/meiduo/settings/dev.py changed, reloading.]
[2020-12-13 14:27:08,640][MainThread:4498324928][task_id:django.utils.autoreload][autoreload.py:584][INFO][Watching for file changes with StatReloader]
[2020-12-13 14:27:11,570][Thread-1:123145464365056][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:27:11,570][Thread-1:123145464365056][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:27:12,347][Thread-1:123145464365056][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:27:12,347][Thread-1:123145464365056][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:27:12,799][Thread-1:123145464365056][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:27:12,799][Thread-1:123145464365056][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:27:13,078][Thread-1:123145464365056][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:27:13,079][Thread-1:123145464365056][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:27:13,312][Thread-1:123145464365056][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:27:13,312][Thread-1:123145464365056][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:27:13,530][Thread-1:123145464365056][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
